2017-06-04 09:01:53,611 processing leve2_url[https://socialblade.com/youtube/user/netdmuzikk] , [4971] left
2017-06-04 09:01:56,078 processing leve2_url[https://socialblade.com/youtube/user/abscbnonline] , [4970] left
2017-06-04 09:01:59,677 processing leve2_url[https://socialblade.com/youtube/user/toyscouter] , [4969] left
2017-06-04 09:02:02,855 processing leve2_url[https://socialblade.com/youtube/user/msofficialtrailers] , [4968] left
2017-06-04 09:02:06,401 processing leve2_url[https://socialblade.com/youtube/channel/UCuMFptTP-0SdhR4fIx4Q3UQ] , [4967] left
2017-06-04 09:02:19,943 processing leve2_url[https://socialblade.com/youtube/user/theelenaya] , [4966] left
2017-06-04 09:02:21,532 processing leve2_url[https://socialblade.com/youtube/user/marvel] , [4965] left
2017-06-04 09:02:23,785 processing leve2_url[https://socialblade.com/youtube/user/mracehd] , [4964] left
2017-06-04 09:02:28,637 processing leve2_url[https://socialblade.com/youtube/user/wwefannation] , [4963] left
2017-06-04 09:02:31,209 processing leve2_url[https://socialblade.com/youtube/user/siavevo] , [4962] left
2017-06-04 09:02:33,668 processing leve2_url[https://socialblade.com/youtube/channel/UCCzKsF-nCueNA8TeKigxshQ] , [4961] left
2017-06-04 09:02:36,065 processing leve2_url[https://socialblade.com/youtube/user/zeetv] , [4960] left
2017-06-04 09:02:38,997 processing leve2_url[https://socialblade.com/youtube/user/thechuchutv] , [4959] left
2017-06-04 09:02:41,476 processing leve2_url[https://socialblade.com/youtube/user/tv3official] , [4958] left
2017-06-04 09:02:44,323 processing leve2_url[https://socialblade.com/youtube/user/zeemusiccompany] , [4957] left
2017-06-04 09:02:46,897 processing leve2_url[https://socialblade.com/youtube/user/littlebabybum] , [4956] left
2017-06-04 09:02:51,250 processing leve2_url[https://socialblade.com/youtube/user/turmadamonicatv] , [4955] left
2017-06-04 09:02:53,987 processing leve2_url[https://socialblade.com/youtube/channel/UCCI5Xsd_gCbZb9eTeOf9FdQ] , [4954] left
2017-06-04 09:02:57,170 processing leve2_url[https://socialblade.com/youtube/user/elektrarecords] , [4953] left
2017-06-04 09:03:00,648 processing leve2_url[https://socialblade.com/youtube/channel/UCpIAHQcBQp5yWGQ7UR3xixg] , [4952] left
2017-06-04 09:03:03,043 processing leve2_url[https://socialblade.com/youtube/channel/UChqkGBwUjV9uFOEpVF1Yd5g] , [4951] left
2017-06-04 09:03:05,815 processing leve2_url[https://socialblade.com/youtube/user/hammerdonthurtem] , [4950] left
2017-06-04 09:03:09,724 processing leve2_url[https://socialblade.com/youtube/user/nickyjamtv] , [4949] left
2017-06-04 09:03:12,684 processing leve2_url[https://socialblade.com/youtube/user/movieclips] , [4948] left
2017-06-04 09:03:15,706 processing leve2_url[https://socialblade.com/youtube/user/msinterestingtv] , [4947] left
2017-06-04 09:03:18,434 processing leve2_url[https://socialblade.com/youtube/user/gorillaz] , [4946] left
2017-06-04 09:03:21,614 processing leve2_url[https://socialblade.com/youtube/user/sabtv] , [4945] left
2017-06-04 09:03:33,191 processing leve2_url[https://socialblade.com/youtube/user/jogodoido1] , [4944] left
2017-06-04 09:03:35,766 processing leve2_url[https://socialblade.com/youtube/user/maerkastoiloas] , [4943] left
2017-06-04 09:03:38,742 processing leve2_url[https://socialblade.com/youtube/user/chainsmokersvevo] , [4942] left
2017-06-04 09:03:42,400 processing leve2_url[https://socialblade.com/youtube/user/getmovies] , [4941] left
2017-06-04 09:03:46,628 processing leve2_url[https://socialblade.com/youtube/channel/UCcartHVtvAUzfajflyeT_Gg] , [4940] left
2017-06-04 09:03:51,950 processing leve2_url[https://socialblade.com/youtube/channel/UC-0D1RlSzcvBoODCKSoLl2g] , [4939] left
2017-06-04 09:03:57,410 processing leve2_url[https://socialblade.com/youtube/user/popularmmos] , [4938] left
2017-06-04 09:04:02,940 processing leve2_url[https://socialblade.com/youtube/user/enriqueiglesiasvevo] , [4937] left
2017-06-04 09:04:08,957 processing leve2_url[https://socialblade.com/youtube/user/thediamondminecart] , [4936] left
2017-06-04 09:04:15,105 processing leve2_url[https://socialblade.com/youtube/user/jbalvinvevo] , [4935] left
2017-06-04 09:04:20,065 processing leve2_url[https://socialblade.com/youtube/channel/UC9prtcQZkLW4YiqkGDB6NkQ] , [4934] left
2017-06-04 09:04:33,828 processing leve2_url[https://socialblade.com/youtube/channel/UCRtFAg-PAvCDM7uTG4jE2ig] , [4933] left
2017-06-04 09:04:36,114 processing leve2_url[https://socialblade.com/youtube/user/worldstarhiphoptv] , [4932] left
2017-06-04 09:04:37,983 processing leve2_url[https://socialblade.com/youtube/channel/UCsgw7Sloa1PmIDCf7AvRYcQ] , [4931] left
2017-06-04 09:04:40,040 processing leve2_url[https://socialblade.com/youtube/user/gmanetwork] , [4930] left
2017-06-04 09:04:44,082 processing leve2_url[https://socialblade.com/youtube/user/jakepaulproductions] , [4929] left
2017-06-04 09:04:49,852 processing leve2_url[https://socialblade.com/youtube/user/familyfunpack] , [4928] left
2017-06-04 09:04:53,026 processing leve2_url[https://socialblade.com/youtube/user/mashamedvedtv] , [4927] left
2017-06-04 09:04:55,476 processing leve2_url[https://socialblade.com/youtube/channel/UCHWluCKn8tTx8Nay6SR4oPQ] , [4926] left
2017-06-04 09:04:57,980 processing leve2_url[https://socialblade.com/youtube/user/cleanbandit] , [4925] left
2017-06-04 09:05:00,392 processing leve2_url[https://socialblade.com/youtube/user/frozentoast] , [4924] left
2017-06-04 09:05:02,766 processing leve2_url[https://socialblade.com/youtube/user/smosh] , [4923] left
2017-06-04 09:05:05,354 processing leve2_url[https://socialblade.com/youtube/user/toyoraljanahtv] , [4922] left
2017-06-04 09:05:08,252 processing leve2_url[https://socialblade.com/youtube/user/loenent] , [4921] left
2017-06-04 09:05:11,852 processing leve2_url[https://socialblade.com/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw] , [4920] left
2017-06-04 09:05:14,892 processing leve2_url[https://socialblade.com/youtube/user/bhojpuriwave] , [4919] left
2017-06-04 09:05:19,385 processing leve2_url[https://socialblade.com/youtube/user/itsbabybigmouth] , [4918] left
2017-06-04 09:05:24,101 processing leve2_url[https://socialblade.com/youtube/channel/UCAarCepX08yGME4YjyJRrLw] , [4917] left
2017-06-04 09:05:27,818 processing leve2_url[https://socialblade.com/youtube/user/nodoubtvevo] , [4916] left
2017-06-04 09:05:33,128 processing leve2_url[https://socialblade.com/youtube/channel/UChM5Ff2yVeIZ16EWiB081cg] , [4915] left
2017-06-04 09:05:36,894 processing leve2_url[https://socialblade.com/youtube/user/cybervillagesolution] , [4914] left
2017-06-04 09:05:41,226 processing leve2_url[https://socialblade.com/youtube/user/fridita2] , [4913] left
2017-06-04 09:05:43,726 processing leve2_url[https://socialblade.com/youtube/user/intellegentz] , [4912] left
2017-06-04 09:05:46,619 processing leve2_url[https://socialblade.com/youtube/user/gr6explode] , [4911] left
2017-06-04 09:05:49,092 processing leve2_url[https://socialblade.com/youtube/user/3uptheyingyang] , [4910] left
2017-06-04 09:05:52,234 processing leve2_url[https://socialblade.com/youtube/user/mariliamendoncareal] , [4909] left
2017-06-04 09:05:55,894 processing leve2_url[https://socialblade.com/youtube/user/justinbiebervevo] , [4908] left
2017-06-04 09:06:01,374 processing leve2_url[https://socialblade.com/youtube/user/nailofgilead] , [4907] left
2017-06-04 09:06:05,328 processing leve2_url[https://socialblade.com/youtube/channel/UCAKmcRhxEELgGjHOZe0xCSw] , [4906] left
2017-06-04 09:06:08,772 processing leve2_url[https://socialblade.com/youtube/user/cnn] , [4905] left
2017-06-04 09:06:12,674 processing leve2_url[https://socialblade.com/youtube/user/toysandfunnykids] , [4904] left
2017-06-04 09:06:16,283 processing leve2_url[https://socialblade.com/youtube/user/britainsgottalent09] , [4903] left
2017-06-04 09:06:21,543 processing leve2_url[https://socialblade.com/youtube/channel/UC6_h2ICrhla8_zm-K5KKLaA] , [4902] left
2017-06-04 09:06:27,348 processing leve2_url[https://socialblade.com/youtube/user/cookieswirlc] , [4901] left
2017-06-04 09:06:41,904 processing leve2_url[https://socialblade.com/youtube/user/musictalentnow] , [4900] left
2017-06-04 09:06:44,371 processing leve2_url[https://socialblade.com/youtube/user/taylorswiftvevo] , [4899] left
2017-06-04 09:06:47,558 processing leve2_url[https://socialblade.com/youtube/channel/UC_GnTqysxu68LRPVjfGlmYg] , [4898] left
2017-06-04 09:06:50,240 processing leve2_url[https://socialblade.com/youtube/channel/UC0gNKhFMg-bKyNNZ_MB3D9Q] , [4897] left
2017-06-04 09:06:53,013 processing leve2_url[https://socialblade.com/youtube/user/fgteev] , [4896] left
2017-06-04 09:06:56,237 processing leve2_url[https://socialblade.com/youtube/user/twappledaily] , [4895] left
2017-06-04 09:06:59,598 processing leve2_url[https://socialblade.com/youtube/user/gnoix] , [4894] left
2017-06-04 09:07:02,668 processing leve2_url[https://socialblade.com/youtube/channel/UC6sSkkemzPjmrzS0Y0V_2zw] , [4893] left
2017-06-04 09:07:06,285 processing leve2_url[https://socialblade.com/youtube/user/disneymusicvevo] , [4892] left
2017-06-04 09:07:11,401 processing leve2_url[https://socialblade.com/youtube/user/idreammovies] , [4891] left
2017-06-04 09:07:16,944 processing leve2_url[https://socialblade.com/youtube/user/latenight] , [4890] left
2017-06-04 09:07:22,279 processing leve2_url[https://socialblade.com/youtube/user/martingarrix] , [4889] left
2017-06-04 09:07:26,940 processing leve2_url[https://socialblade.com/youtube/user/filmsactutrailers] , [4888] left
2017-06-04 09:07:32,497 processing leve2_url[https://socialblade.com/youtube/user/qar555201] , [4887] left
2017-06-04 09:07:37,029 processing leve2_url[https://socialblade.com/youtube/user/jacksepticeye] , [4886] left
2017-06-04 09:07:41,424 processing leve2_url[https://socialblade.com/youtube/user/charliesvlogs] , [4885] left
2017-06-04 09:07:47,180 processing leve2_url[https://socialblade.com/youtube/user/spinninrec] , [4884] left
2017-06-04 09:07:52,253 processing leve2_url[https://socialblade.com/youtube/user/jamaladse1] , [4883] left
2017-06-04 09:07:57,650 processing leve2_url[https://socialblade.com/youtube/channel/UC_8PAD0Qmi6_gpe77S1Atgg] , [4882] left
2017-06-04 09:08:02,437 processing leve2_url[https://socialblade.com/youtube/user/kingkhanhd] , [4881] left
2017-06-04 09:08:07,749 processing leve2_url[https://socialblade.com/youtube/user/gmmgrammyofficial] , [4880] left
2017-06-04 09:08:13,484 processing leve2_url[https://socialblade.com/youtube/user/theweekndvevo] , [4879] left
2017-06-04 09:08:17,086 processing leve2_url[https://socialblade.com/youtube/user/sexydominicangirls] , [4878] left
2017-06-04 09:08:20,690 processing leve2_url[https://socialblade.com/youtube/user/theellenshow] , [4877] left
2017-06-04 09:08:25,390 processing leve2_url[https://socialblade.com/youtube/user/buzzfeedvideo] , [4876] left
2017-06-04 09:08:29,799 processing leve2_url[https://socialblade.com/youtube/channel/UCGYBlvsTx8yGgQm7s59C9eg] , [4875] left
2017-06-04 09:08:33,302 processing leve2_url[https://socialblade.com/youtube/channel/UC4-TgOSMJHn-LtY4zCzbQhw] , [4874] left
2017-06-04 09:08:37,983 processing leve2_url[https://socialblade.com/youtube/user/grupocanaveralvevo] , [4873] left
2017-06-04 09:08:42,983 processing leve2_url[https://socialblade.com/youtube/user/alltrapnation] , [4872] left
2017-06-04 09:08:46,688 processing leve2_url[https://socialblade.com/youtube/user/colorstv] , [4871] left
2017-06-04 09:08:50,845 processing leve2_url[https://socialblade.com/youtube/user/vegetta777] , [4870] left
2017-06-04 09:08:55,996 processing leve2_url[https://socialblade.com/youtube/user/corycotton] , [4869] left
2017-06-04 09:09:01,020 processing leve2_url[https://socialblade.com/youtube/channel/UCjmAh2qxmvWdH3xNPbg0IUQ] , [4868] left
2017-06-04 09:09:05,272 processing leve2_url[https://socialblade.com/youtube/user/manandlawtv] , [4867] left
2017-06-04 09:09:17,920 processing leve2_url[https://socialblade.com/youtube/user/speedrecordss] , [4866] left
2017-06-04 09:09:19,855 processing leve2_url[https://socialblade.com/youtube/user/djkhaledvevo] , [4865] left
2017-06-04 09:09:21,663 processing leve2_url[https://socialblade.com/youtube/user/aggrotv] , [4864] left
2017-06-04 09:09:23,842 processing leve2_url[https://socialblade.com/youtube/channel/UCfaZw8XH_zmAVkBst_MPD6w] , [4863] left
2017-06-04 09:09:26,549 processing leve2_url[https://socialblade.com/youtube/user/vijay223227] , [4862] left
2017-06-04 09:09:28,727 processing leve2_url[https://socialblade.com/youtube/channel/UCLGOpkME9pyo3gDzWWrJwqA] , [4861] left
2017-06-04 09:09:30,795 processing leve2_url[https://socialblade.com/youtube/user/misfit52687138] , [4860] left
2017-06-04 09:09:33,005 processing leve2_url[https://socialblade.com/youtube/user/vanossgaming] , [4859] left
2017-06-04 09:09:36,513 processing leve2_url[https://socialblade.com/youtube/user/authenticgames] , [4858] left
2017-06-04 09:09:38,709 processing leve2_url[https://socialblade.com/youtube/user/next9newsmedia] , [4857] left
2017-06-04 09:09:42,019 processing leve2_url[https://socialblade.com/youtube/user/djpapijimmy] , [4856] left
2017-06-04 09:09:45,946 processing leve2_url[https://socialblade.com/youtube/user/fueledbyramen] , [4855] left
2017-06-04 09:09:49,084 processing leve2_url[https://socialblade.com/youtube/user/hejproducao] , [4854] left
2017-06-04 09:09:51,437 processing leve2_url[https://socialblade.com/youtube/user/mrwoot] , [4853] left
